gender,account_type,transaction_type,device,receiver_acc_type,device_os,name,cpf,birth_date,adress_pcode,phone_number,acc_creation_date,agency,account,credit_score,sender_id,device_id,device_model,transaction_amount,transaction_id,transaction_city,transaction_time,receiver_id,receiver_bank,receiver_agency,receiver_account
f,salario,boleto,cellphone,poupanca,myos,Yan da Cruz,321.564.087-26,1939-03-22,13389083,71 6379-4026,2021-11-03,5574,291369,451.0,sid23Wv,dv11yg,md55Mq,11160.54,1,Siqueira,2021-12-11 20:28:06,rid78hy,bk18,4803,869693
f,poupanca,pix,cellphone,pagamento,myos,Matheus Santos,103.628.947-87,1972-09-23,52553-419,+55 (041) 8327-6483,2023-12-21,5313,883794,315.0,sid03cZ,dv56re,md39Tu,9941.88,2,Rezende,2025-03-13 10:37:26,rid76PD,bk24,2287,258607
f,corrente,pix,cellphone,pagamento,bot,Vinicius Souza,968.215.307-77,1949-10-26,26916697,51 4801 8451,2025-09-02,4808,455884,487.0,sid27aU,dv48Wl,md81Ot,7773.97,3,Cassiano,2025-10-24 07:54:29,rid52IX,bk80,9813,339902
m,poupanca,boleto,cellphone,pagamento,bot,Henry Gabriel Fonseca,430.197.526-80,1944-04-25,27824896,+55 11 8346-5787,2025-01-19,1982,259947,595.0,sid31vb,dv98oL,md30eT,48655.79,4,da Conceicao,2025-01-26 13:32:11,rid10ve,bk83,4562,701474
m,corrente,pix,cellphone,salario,bot,Valentina Cardoso,973.685.102-86,1993-07-24,66701-065,+55 51 3338 7262,2025-01-09,4563,485100,425.0,sid31CZ,dv81dP,md80fW,14469.4,5,Cavalcante,2025-04-02 04:49:54,rid67En,bk60,2697,397382
f,salario,pix,cellphone,corrente,bot,Vinicius Viana,746.598.302-92,1975-04-12,09805009,(081) 8820-8121,2020-11-29,9749,71262,447.0,sid36hK,dv39Mc,md91AQ,46832.73,6,da Luz do Oeste,2024-03-25 23:57:22,rid53qz,bk24,7491,331535
f,salario,pix,cellphone,corrente,bot,Maria Cecilia Pinto,918.476.205-58,1944-04-04,54278498,+55 (021) 8412 4118,2021-07-06,2546,285577,606.0,sid49nT,dv53RO,md48Fq,34230.71,7,Borges,2021-08-03 22:36:39,rid64ca,bk52,4291,169430
f,corrente,boleto,cellphone,corrente,bot,Leticia Novais,018.574.963-10,1993-05-22,04505331,11 8692 3226,2024-08-26,406,188073,782.0,sid56ZQ,dv34kY,md16cE,15733.89,8,Costa,2025-10-28 12:04:06,rid75tY,bk33,387,692094
m,corrente,boleto,cellphone,corrente,myos,Bella da Mota,145.783.206-26,1970-06-13,94019655,(021) 9816-9340,2022-07-16,7144,1773,622.0,sid88RU,dv35Be,md59uQ,44891.14,9,Silveira,2024-03-25 23:53:18,rid48tQ,bk65,6592,731076
m,corrente,boleto,cellphone,pagamento,cheeseos,Jose Miguel Correia,692.487.350-29,1976-04-02,36995-777,+55 11 8721-4895,2023-05-30,1530,858179,736.0,sid34oZ,dv32bc,md37NX,21108.0,10,Marques,2025-10-07 05:59:43,rid69mT,bk67,6547,255836
m,salario,pix,cellphone,poupanca,penguin,Anthony Sa,163.954.702-99,1951-05-31,27889-579,21 6872-7743,2022-02-24,4543,803013,675.0,sid87Op,dv47eT,md43rv,26848.52,11,Nogueira de Minas,2024-12-09 03:36:55,rid22oy,bk23,1052,435020
f,pagamento,pix,cellphone,salario,myos,Vitoria Martins,603.975.821-02,1999-10-24,54668893,(084) 3467-0656,2024-05-12,2704,881334,575.0,sid72NI,dv06LK,md01PB,8932.59,12,Martins,2025-01-24 00:04:34,rid20qy,bk53,7449,342722
m,corrente,pix,desktop,pagamento,cheeseos,Agatha Sa,641.308.579-75,1944-03-27,03309232,(071) 1937-4529,2023-10-07,9949,784256,728.0,sid12tg,dv90tK,md66Tm,26517.68,13,Pastor,2025-05-17 22:50:59,rid31SX,bk49,1983,834904
m,poupanca,pix,cellphone,salario,myos,Cecilia Nascimento,651.482.079-49,1949-04-05,57262-849,61 7769-4531,2025-09-16,4569,924457,783.0,sid73WD,dv99Qy,md50Fu,47347.47,14,Mendonca,2025-09-19 23:41:52,rid35Zq,bk54,9767,735244
m,corrente,pix,cellphone,corrente,bot,Antonio Moreira,319.576.824-00,2001-09-11,01436-349,31 7885 6855,2023-03-31,7434,284076,446.0,sid44oh,dv35hV,md82mn,43621.65,15,da Mota de Silveira,2025-08-10 09:23:29,rid98Ms,bk13,4853,238533
m,corrente,pix,cellphone,corrente,bot,Ana Julia Albuquerque,824.067.935-83,2001-09-14,09477752,+55 (071) 4711 6719,2023-12-19,878,159097,541.0,sid29tf,dv31JW,md69MY,25878.79,16,Vasconcelos,2024-05-06 09:01:58,rid86CC,bk49,7025,320214
f,corrente,pix,cellphone,corrente,myos,Dante Pimenta,138.250.946-42,1945-02-10,06797403,(011) 4713 4936,2025-09-24,1880,571015,426.0,sid32rj,dv10kY,md49VK,45271.0,17,Macedo do Campo,2025-11-23 07:05:54,rid74Sz,bk48,8847,517781
f,corrente,pix,cellphone,poupanca,bot,Bruno Lopes,540.718.629-20,1940-05-15,78742967,+55 31 7565 5125,2024-08-14,6744,727369,560.0,sid74Qz,dv80Df,md54uh,39230.97,18,Moraes do Sul,2024-10-15 11:32:41,rid87Ad,bk38,5927,652878
m,corrente,boleto,cellphone,corrente,bot,Luisa Teixeira,034.712.865-35,1951-06-04,93248086,+55 31 3171 2748,2025-02-18,4479,435673,841.0,sid77pD,dv82ym,md98Vi,4920.89,19,da Mota,2025-10-18 21:13:55,rid65YG,bk40,4634,761319
m,pagamento,pix,cellphone,pagamento,cheeseos,Kaique Machado,875.249.316-46,1960-07-27,96360576,51 2702 8951,2023-06-08,7213,104555,437.0,sid87aU,dv26Pj,md17Yq,46163.28,20,Pinto das Flores,2025-07-07 15:06:54,rid15RI,bk65,7994,914759
m,corrente,pix,cellphone,corrente,penguin,Davi Miguel da Costa,431.805.697-00,1938-11-01,50455623,51 6922 2196,2025-06-30,3945,521841,767.0,sid92oD,dv47qQ,md07sR,8315.56,21,Barbosa,2025-07-06 23:18:06,rid75Lt,bk64,7484,886365
